,BPM,GestureSize,MaxAngleRegionOne,MaxAngleRegionTwo,Trial
0,80.0,S,67.87199,69.45491,1.0
1,80.0,S,69.85531999999999,70.92043000000002,2.0
2,80.0,S,68.08369,67.91116,3.0
3,80.0,S,75.15100000000002,77.1943,4.0
4,80.0,S,71.39948000000003,71.43021999999998,5.0
5,80.0,S,68.97768,68.98109000000001,6.0
6,80.0,S,71.99378,72.95826,7.0
7,80.0,S,69.70382,70.11354,8.0
8,80.0,S,71.18315,71.30025,9.0
9,80.0,S,70.62938,71.39008000000003,10.0
10,80.0,S,71.16964,71.2316,11.0
11,80.0,S,71.46121,72.87393,12.0
12,80.0,S,71.95869,72.26578,13.0
13,80.0,S,72.15496,72.12096,14.0
14,80.0,S,77.74814,75.31535,15.0
15,80.0,S,79.73772,79.91738000000002,16.0
16,80.0,S,72.14237,72.89596999999998,17.0
17,80.0,S,71.80474,71.91578,18.0
18,80.0,S,73.67401,75.08176999999998,19.0
19,80.0,S,70.11089,70.68536999999998,20.0
20,80.0,S,70.54847,71.93755,21.0
21,80.0,S,71.8539,73.33458,22.0
22,80.0,S,77.95411,80.68633,23.0
23,80.0,S,78.52991999999998,80.69541,24.0
24,80.0,S,80.80404,75.64229,25.0
25,80.0,S,71.37183,72.42574,26.0
26,80.0,S,76.95954,81.73026,27.0
27,80.0,S,76.89244000000002,78.65977,28.0
28,80.0,S,76.49643,77.20119,29.0
29,80.0,S,73.12739,74.28556,30.0
30,80.0,S,79.64876,79.89737,31.0
31,80.0,S,76.81494,77.86904,32.0
32,80.0,S,76.22479,77.39246,33.0
33,80.0,S,77.2402,77.65415,34.0
34,80.0,S,75.43722,75.76661,35.0
35,80.0,S,73.48909,73.37751,36.0
36,80.0,S,74.95906,75.70433,37.0
37,80.0,S,77.25126999999998,79.25715,38.0
38,80.0,S,76.11294000000002,76.1962,39.0
39,80.0,S,78.3678,78.50726999999998,40.0
40,100.0,S,69.73721,71.36001999999998,1.0
41,100.0,S,67.85178,68.41255,2.0
42,100.0,S,71.5163,74.70515,3.0
43,100.0,S,-999.0,84.71378,4.0
44,100.0,S,68.37245,68.63251,5.0
45,100.0,S,75.23575,77.54868,6.0
46,100.0,S,71.86671,73.17517,7.0
47,100.0,S,70.75758,71.80068,8.0
48,100.0,S,71.8925,73.32859,9.0
49,100.0,S,69.44069,70.46228,10.0
50,100.0,S,71.12623,71.96734000000002,11.0
51,100.0,S,75.05818000000002,76.99521999999997,12.0
52,100.0,S,83.13773,80.73843000000002,13.0
53,100.0,S,72.16594,73.12379,14.0
54,100.0,S,76.08184,78.81831,15.0
55,100.0,S,77.39331999999997,79.15295,16.0
56,100.0,S,82.6936,84.4127,17.0
57,100.0,S,79.00057,80.29483,18.0
58,100.0,S,78.20255999999998,80.06995,19.0
59,100.0,S,83.52977,82.00184,20.0
60,100.0,S,76.39529,77.86548,21.0
61,100.0,S,84.06213000000002,82.10403000000002,22.0
62,100.0,S,77.19881,77.94051,23.0
63,100.0,S,77.77741,77.85381,24.0
64,100.0,S,77.4288,77.85597,25.0
65,100.0,S,78.51333000000002,78.8987,26.0
66,100.0,S,81.41936,81.10674,27.0
67,100.0,S,81.10306,81.96468,28.0
68,100.0,S,78.55481,78.67218000000003,29.0
69,100.0,S,77.02188000000002,76.74733,30.0
70,100.0,S,75.94086,76.73869,31.0
71,100.0,S,75.18087,75.0579,32.0
72,100.0,S,76.30041999999997,76.63676,33.0
73,100.0,S,81.92469,82.49566999999998,34.0
74,100.0,S,82.83998000000003,82.7258,35.0
75,100.0,S,82.75196,82.82979,36.0
76,100.0,S,85.28256999999998,85.57834,37.0
77,100.0,S,80.45183,80.64902,38.0
78,100.0,S,80.02526,80.79706,39.0
79,100.0,S,83.60436,83.82566,40.0
80,120.0,S,75.37997,80.3192,1.0
81,120.0,S,78.97834,76.89528,2.0
82,120.0,S,73.3195,76.10274,3.0
83,120.0,S,76.62075,80.48442,4.0
84,120.0,S,72.90302,73.4577,5.0
85,120.0,S,78.77209,80.51720999999998,6.0
86,120.0,S,72.11536,73.9573,7.0
87,120.0,S,74.12295,76.07851,8.0
88,120.0,S,73.72348000000002,73.65919,9.0
89,120.0,S,80.19131,81.79511,10.0
90,120.0,S,70.18393,70.36626,11.0
91,120.0,S,78.24834,80.14976,12.0
92,120.0,S,81.67699,83.68835,13.0
93,120.0,S,70.49292,70.5391,14.0
94,120.0,S,79.85754,84.58746,15.0
95,120.0,S,74.94951,77.85078,16.0
96,120.0,S,77.19138000000002,77.94315999999998,17.0
97,120.0,S,74.83104,75.52965999999998,18.0
98,120.0,S,71.79149,73.76658,19.0
99,120.0,S,71.05769000000002,73.22726,20.0
100,120.0,S,81.39021,82.13356,21.0
101,120.0,S,77.52765,78.85852,22.0
102,120.0,S,75.16628,75.92554,23.0
103,120.0,S,79.38355,79.59589,24.0
104,120.0,S,80.65919,81.24339,25.0
105,120.0,S,77.85008,80.77161,26.0
106,120.0,S,79.51941,80.47935,27.0
107,120.0,S,77.99605,79.83001999999998,28.0
108,120.0,S,81.16841,81.63264000000002,29.0
109,120.0,S,80.52513,80.66792,30.0
110,120.0,S,77.45736,79.9538,31.0
111,120.0,S,83.15438,86.62021999999997,32.0
112,120.0,S,76.6402,77.34019,33.0
113,120.0,S,83.1832,84.09014,34.0
114,120.0,S,-999.0,-999.0,35.0
115,120.0,S,75.90095,77.16468,36.0
116,120.0,S,80.97851,84.10844,37.0
117,120.0,S,77.38166,77.81421999999998,38.0
118,120.0,S,80.78116,81.29785,39.0
119,120.0,S,76.41346999999998,76.63585,40.0
120,80.0,M,79.95868,81.46840999999998,1.0
121,80.0,M,81.37791,84.75583,2.0
122,80.0,M,77.63309,79.26398,3.0
123,80.0,M,79.54202,80.56128000000002,4.0
124,80.0,M,75.08839,77.22049,5.0
125,80.0,M,77.46368000000002,80.70317,6.0
126,80.0,M,73.33391,75.31461999999998,7.0
127,80.0,M,78.93096,81.7878,8.0
128,80.0,M,77.22505,79.04424,9.0
129,80.0,M,73.27368,74.73613,10.0
130,80.0,M,74.17945,76.1976,11.0
131,80.0,M,75.97985,79.45911,12.0
132,80.0,M,76.10168,77.55922,13.0
133,80.0,M,74.42553000000002,77.47367,14.0
134,80.0,M,74.31519,75.32914,15.0
135,80.0,M,84.61496,86.89115,16.0
136,80.0,M,69.32639,71.83084000000002,17.0
137,80.0,M,72.51018,73.22598,18.0
138,80.0,M,77.1881,77.65415,19.0
139,80.0,M,74.95297,76.13884,20.0
140,80.0,M,69.66894,69.54774,21.0
141,80.0,M,83.55664,80.59966,22.0
142,80.0,M,72.28777,73.24305,23.0
143,80.0,M,73.35793000000002,73.93918000000002,24.0
144,80.0,M,74.0816,75.85498,25.0
145,80.0,M,73.59891,73.71725,26.0
146,80.0,M,70.99854,71.84338000000002,27.0
147,80.0,M,77.8806,76.27199999999998,28.0
148,80.0,M,73.47659,73.4151,29.0
149,80.0,M,77.14559,77.42889,30.0
150,80.0,M,80.81844,81.21491999999998,31.0
151,80.0,M,72.5974,72.97251999999997,32.0
152,80.0,M,72.39153,74.00254,33.0
153,80.0,M,73.60117,75.47886,34.0
154,80.0,M,74.16011,76.23295999999998,35.0
155,80.0,M,70.43462,71.91781999999998,36.0
156,80.0,M,74.14577,75.38928,37.0
157,80.0,M,76.98141,78.7907,38.0
158,80.0,M,72.42738,72.89823,39.0
159,80.0,M,81.16839,76.62318,40.0
160,100.0,M,80.79231,78.62232,1.0
161,100.0,M,79.62014,81.17751,2.0
162,100.0,M,76.41554000000002,77.89303000000002,3.0
163,100.0,M,82.30558,88.2889,4.0
164,100.0,M,77.60501,79.07776,5.0
165,100.0,M,77.27164,77.79749,6.0
166,100.0,M,81.82346,87.91449,7.0
167,100.0,M,82.82725,85.4948,8.0
168,100.0,M,81.47878,81.60451,9.0
169,100.0,M,78.64314,80.58633,10.0
170,100.0,M,82.86509000000002,83.1276,11.0
171,100.0,M,78.59561,83.57305,12.0
172,100.0,M,82.9556,87.52221999999998,13.0
173,100.0,M,85.04021999999998,86.55015,14.0
174,100.0,M,79.11505,81.24396,15.0
175,100.0,M,82.40355,82.57681,16.0
176,100.0,M,81.76781,82.06045999999998,17.0
177,100.0,M,83.36886,83.89541,18.0
178,100.0,M,79.41704,80.66781999999998,19.0
179,100.0,M,83.41351,85.72211,20.0
180,100.0,M,70.34007,71.79368000000002,21.0
181,100.0,M,75.03556,75.62404000000002,22.0
182,100.0,M,77.0084,78.67361,23.0
183,100.0,M,76.24218,77.08355,24.0
184,100.0,M,74.16158,78.1452,25.0
185,100.0,M,76.23805,78.80412,26.0
186,100.0,M,76.86513000000002,76.93264,27.0
187,100.0,M,78.26968000000002,78.06882,28.0
188,100.0,M,75.97729,76.16183000000002,29.0
189,100.0,M,76.46828000000002,79.69866,30.0
190,100.0,M,75.07028000000003,75.24821,31.0
191,100.0,M,83.63625,84.60644,32.0
192,100.0,M,79.32619,82.09312,33.0
193,100.0,M,77.38873000000002,78.11433000000002,34.0
194,100.0,M,81.89758,83.02620999999998,35.0
195,100.0,M,78.8344,79.9668,36.0
196,100.0,M,72.02029,72.94677,37.0
197,100.0,M,72.07096999999997,72.57831999999998,38.0
198,100.0,M,74.47440999999998,74.66051,39.0
199,100.0,M,73.52269,74.45285,40.0
200,120.0,M,76.20689,78.52026,1.0
201,120.0,M,80.04824,81.38728,2.0
202,120.0,M,77.02008000000002,80.18436,3.0
203,120.0,M,75.54704,78.77163,4.0
204,120.0,M,79.78601,84.90611,5.0
205,120.0,M,76.30149,76.90252,6.0
206,120.0,M,76.10372,78.28224,7.0
207,120.0,M,84.80801,86.73385,8.0
208,120.0,M,82.36717,84.5918,9.0
209,120.0,M,78.66322,78.97489,10.0
210,120.0,M,69.2625,70.58018,11.0
211,120.0,M,73.78264,74.11849000000002,12.0
212,120.0,M,74.74723,76.40505,13.0
213,120.0,M,74.62669,75.98550999999998,14.0
214,120.0,M,71.50568,75.72941,15.0
215,120.0,M,75.1489,75.17336,16.0
216,120.0,M,77.97353000000003,80.02994,17.0
217,120.0,M,80.14101,82.18811,18.0
218,120.0,M,77.36833,79.27434000000002,19.0
219,120.0,M,81.28445,81.62482,20.0
220,120.0,M,85.54019,84.68417,21.0
221,120.0,M,80.44638,79.81975,22.0
222,120.0,M,80.90939,82.46384,23.0
223,120.0,M,75.39291,75.40785,24.0
224,120.0,M,79.45904,81.06557,25.0
225,120.0,M,85.48874,81.0705,26.0
226,120.0,M,77.62959000000002,77.78703,27.0
227,120.0,M,84.08910999999998,86.0359,28.0
228,120.0,M,79.23344,79.54793000000002,29.0
229,120.0,M,80.04243000000002,81.47368,30.0
230,120.0,M,82.84261,83.20976999999998,31.0
231,120.0,M,78.89005999999998,75.86925,32.0
232,120.0,M,76.02019,75.94359,33.0
233,120.0,M,78.60106999999998,78.84156999999998,34.0
234,120.0,M,77.83439,78.04205,35.0
235,120.0,M,81.0723,81.08474,36.0
236,120.0,M,83.13964,84.31795,37.0
237,120.0,M,80.60323000000002,83.32835,38.0
238,120.0,M,77.16322,78.96896,39.0
239,120.0,M,80.65233,80.71848,40.0
240,80.0,L,72.24531999999998,73.43298,1.0
241,80.0,L,74.87534000000002,78.25576,2.0
242,80.0,L,82.13698000000002,83.0234,3.0
243,80.0,L,65.07404,69.09470999999999,4.0
244,80.0,L,75.95006,82.92149,5.0
245,80.0,L,73.38428,80.69604,6.0
246,80.0,L,74.91561999999998,79.21629,7.0
247,80.0,L,74.1664,74.48544,8.0
248,80.0,L,74.72074,79.94988000000002,9.0
249,80.0,L,81.35311,81.90051,10.0
250,80.0,L,68.93276999999999,73.13828000000002,11.0
251,80.0,L,74.2801,78.57428,12.0
252,80.0,L,73.48704000000002,75.77837,13.0
253,80.0,L,74.04729,74.20003,14.0
254,80.0,L,80.42222,84.63889,15.0
255,80.0,L,73.59688,75.75671,16.0
256,80.0,L,78.33524,81.59903,17.0
257,80.0,L,75.91816999999998,76.34579000000002,18.0
258,80.0,L,78.305,82.97264,19.0
259,80.0,L,76.64964,82.30103000000003,20.0
260,80.0,L,68.66234,68.22443,21.0
261,80.0,L,78.42712,77.8674,22.0
262,80.0,L,67.78763000000001,66.04329,23.0
263,80.0,L,69.59055,68.85472,24.0
264,80.0,L,71.79576999999998,71.65397,25.0
265,80.0,L,71.27043,71.25520999999998,26.0
266,80.0,L,72.14596999999998,72.24122,27.0
267,80.0,L,70.85171,69.86480999999999,28.0
268,80.0,L,72.20105,71.83292,29.0
269,80.0,L,74.43226999999997,73.85596,30.0
270,80.0,L,82.22912,78.30859,31.0
271,80.0,L,69.38315,68.87738,32.0
272,80.0,L,63.24046,63.16217,33.0
273,80.0,L,72.40041,71.87691,34.0
274,80.0,L,73.60101,71.51042,35.0
275,80.0,L,72.41767,68.6956,36.0
276,80.0,L,73.3173,73.01100000000002,37.0
277,80.0,L,73.77405999999998,73.71049000000002,38.0
278,80.0,L,67.23438,65.84222,39.0
279,80.0,L,69.5556,69.31477,40.0
280,100.0,L,75.46266,77.17447,1.0
281,100.0,L,79.26312,80.27301,2.0
282,100.0,L,80.35197,79.62299,3.0
283,100.0,L,76.49594,75.92600999999998,4.0
284,100.0,L,74.97756,71.4202,5.0
285,100.0,L,75.78056,75.44906,6.0
286,100.0,L,80.95264,83.08878,7.0
287,100.0,L,82.54784000000002,83.29873,8.0
288,100.0,L,80.26025,80.92775999999998,9.0
289,100.0,L,79.68061999999998,82.17768000000002,10.0
290,100.0,L,75.68715999999998,77.60741999999998,11.0
291,100.0,L,73.0256,77.41534,12.0
292,100.0,L,82.67553000000002,82.56161,13.0
293,100.0,L,73.46087,76.26584,14.0
294,100.0,L,71.24492,72.96424,15.0
295,100.0,L,69.89046,70.26859,16.0
296,100.0,L,74.56909,74.72684,17.0
297,100.0,L,74.68324,76.63644000000002,18.0
298,100.0,L,65.55093000000001,66.08261999999999,19.0
299,100.0,L,70.12236,70.56846999999998,20.0
300,100.0,L,81.15363,79.44258,21.0
301,100.0,L,82.25159000000002,82.37033000000002,22.0
302,100.0,L,76.91631,76.51786,23.0
303,100.0,L,73.9999,73.94859,24.0
304,100.0,L,79.66252,79.55846,25.0
305,100.0,L,77.66344000000002,78.08331,26.0
306,100.0,L,71.96928,71.82471,27.0
307,100.0,L,69.66183000000001,69.86017,28.0
308,100.0,L,81.22381999999998,78.28687,29.0
309,100.0,L,73.90437,73.57571999999998,30.0
310,100.0,L,71.0815,71.12991,31.0
311,100.0,L,80.12592,75.1059,32.0
312,100.0,L,73.9623,74.16388,33.0
313,100.0,L,69.96387,68.10327,34.0
314,100.0,L,75.164,75.34505,35.0
315,100.0,L,69.13364,69.56282,36.0
316,100.0,L,73.97867,74.24764,37.0
317,100.0,L,71.13509,72.32642,38.0
318,100.0,L,67.03421999999999,68.00529,39.0
319,100.0,L,71.15276,72.19256999999998,40.0
320,120.0,L,75.22511,76.76697,1.0
321,120.0,L,76.19769000000002,79.87914,2.0
322,120.0,L,80.99831,84.4528,3.0
323,120.0,L,84.38871999999998,87.18859,4.0
324,120.0,L,79.66666,79.3647,5.0
325,120.0,L,80.14461999999997,81.35899,6.0
326,120.0,L,69.42255,70.09111,7.0
327,120.0,L,73.45879000000002,71.29446999999998,8.0
328,120.0,L,78.79434,79.844,9.0
329,120.0,L,72.88096,74.50842,10.0
330,120.0,L,75.44312,74.5196,11.0
331,120.0,L,77.92863,75.34904,12.0
332,120.0,L,74.3703,74.76353,13.0
333,120.0,L,71.42389,72.06307,14.0
334,120.0,L,73.61514,72.64356,15.0
335,120.0,L,68.26169,72.4188,16.0
336,120.0,L,66.63264000000001,68.29986,17.0
337,120.0,L,78.67463000000002,85.55955,18.0
338,120.0,L,82.87745,80.1515,19.0
339,120.0,L,76.98231,80.10933,20.0
340,120.0,L,72.05055,71.78086,21.0
341,120.0,L,72.99361,74.71485,22.0
342,120.0,L,80.24847,78.91395,23.0
343,120.0,L,84.94751,85.13297,24.0
344,120.0,L,78.05019,78.61147,25.0
345,120.0,L,83.97981999999998,84.92648,26.0
346,120.0,L,79.94386,80.07869000000002,27.0
347,120.0,L,80.06819,81.57305,28.0
348,120.0,L,80.55033,82.72703,29.0
349,120.0,L,85.21059,87.31681,30.0
350,120.0,L,81.13043,80.69377,31.0
351,120.0,L,78.10967,78.03912,32.0
352,120.0,L,79.85789,79.9638,33.0
353,120.0,L,83.69503,86.94694,34.0
354,120.0,L,85.39317,86.75068,35.0
355,120.0,L,83.65932,84.52904000000002,36.0
356,120.0,L,85.55882,85.94905,37.0
357,120.0,L,76.49037,76.27718,38.0
358,120.0,L,84.92396,87.01659000000002,39.0
359,120.0,L,78.27067,79.83063,40.0
